fault_desc,fault_type,id,solution
Windows 11开机后卡在登录界面，输入密码没反应，重启也没用,系统类,1,1. 尝试安全模式启动：开机按F8（Windows）或按住Command+R（Mac）\n2. 使用系统自带修复工具：Windows可用系统文件检查器（sfc /scannow）\n3. 最后一次正确配置：在开机选项中选择“最后一次正确的配置”启动
MacBook Pro更新系统后，触控板失灵，点击和滑动都没反应,系统类,2,1. 检查触控板驱动是否需要更新：进入设备管理器更新驱动程序\n2. 重置SMC（系统管理控制器）：MacBook Pro需断开电源，按住Shift+Control+Option+电源键10秒\n3. 检查系统更新：确保系统已更新到最新版本
电脑突然蓝屏，代码0x0000007B，重启后还是循环蓝屏,系统类,3,1. 检查硬件连接：特别是硬盘数据线和电源线\n2. 修复引导文件：使用Windows安装盘进入恢复环境，运行bootrec /fixboot命令\n3. 检查硬盘状态：使用硬盘检测工具（如CrystalDiskInfo）检查是否有坏道
Windows 10提示“无法验证此驱动程序的发布者”，导致显卡驱动安装失败,系统类,4,1. 临时禁用驱动程序签名强制：按Win+R输入gpedit.msc，进入“计算机配置→管理模板→系统→驱动程序安装→驱动程序签名强制”，选择“已禁用”\n2. 从官方渠道下载驱动：到显卡厂商官网下载对应型号和系统版本的驱动程序\n3. 检查系统时间：不正确的系统时间可能导致证书验证失败
Mac系统升级到Ventura后，外接显示器显示黑屏，只识别到分辨率1024x768,系统类,5,1. 检查显示器连接线：尝试重新插拔HDMI或DP线\n2. 更新显卡驱动：通过设备管理器或显卡厂商官网更新驱动\n3. 调整分辨率设置：在系统显示设置中手动设置正确的分辨率
电脑开机提示“找不到操作系统”，之前正常使用，突然断电后就这样了,系统类,6,1. 尝试重建MBR：使用Windows安装盘进入恢复环境，运行diskpart命令，依次执行select disk 0、clean、create partition primary、active、format fs=ntfs quick、assign、exit\n2. 检查BIOS设置：确保硬盘在BIOS中被正确识别\n3. 恢复系统：如果有系统备份，尝试从备份恢复
Windows 11的任务栏卡死，点击任何图标都没反应，只能强制关机,系统类,7,1. 强制重启：长按电源键10秒强制关机，再重新开机\n2. 检查启动项：按Win+R输入msconfig，在“启动”选项卡中禁用不必要的启动项\n3. 系统还原：尝试将系统还原到之前正常的时间点
MacBook Air睡眠后无法唤醒，按电源键屏幕不亮，必须长按强制重启,系统类,8,1. 重置NVRAM/PRAM：MacBook Air需关机，开机时立即按住Command+Option+P+R键，直到听到第二次启动声\n2. 更新系统：确保系统已更新到最新版本\n3. 检查电源适配器：使用Apple诊断工具检查电源相关问题
安装Windows 10时，提示“磁盘分区表格式不支持”，无法继续安装,系统类,9,1. 检查硬盘格式：确保硬盘为GPT或MBR格式（UEFI模式需GPT，传统BIOS需MBR）\n2. 转换硬盘格式：使用diskpart命令（convert gpt或convert mbr）转换硬盘格式\n3. 检查U盘启动：确保U盘启动介质正确制作
电脑提示“系统资源不足，无法完成请求的服务”，打开浏览器都卡,系统类,10,1. 关闭不必要的程序：结束任务管理器中占用资源过高的程序\n2. 增加虚拟内存：右键“此电脑”→属性→高级系统设置→性能→高级→虚拟内存→更改，将虚拟内存设置为系统管理的大小\n3. 检查病毒：使用杀毒软件全盘扫描系统
Office 2019的Word每次打开带图片的文档就崩溃，提示“Word已停止工作”,软件类,11,1. 安全模式打开Word：按住Ctrl键双击Word图标，选择“不使用加载项启动”\n2. 修复Office安装：通过控制面板→程序和功能→选择Office→更改→修复\n3. 禁用COM加载项：Word→文件→选项→加载项→管理COM加载项→转到，取消勾选所有加载项
Adobe Photoshop安装到90%时提示“无法提取文件，权限不足”，管理员身份运行也不行,软件类,12,1. 以管理员身份运行安装程序：右键安装程序→以管理员身份运行\n2. 关闭杀毒软件：临时关闭第三方杀毒软件和防火墙\n3. 清理临时文件：删除C:\\Users\\用户名\\AppData\\Local\\Temp目录下的所有文件
Excel 2021计算大量数据时卡顿，公式自动刷新失败，保存后文件损坏,软件类,13,1. 减少数据量：将大数据集拆分为多个小文件处理\n2. 关闭自动计算：Excel→文件→选项→公式→计算选项→手动计算\n3. 修复文件：使用Excel的“打开并修复”功能尝试恢复文件
Chrome浏览器打开多个标签页后闪退，没有错误提示，重新安装也一样,软件类,14,1. 清除浏览器缓存：Chrome→设置→隐私和安全→清除浏览数据→选择“所有时间”→清除数据\n2. 禁用扩展程序：Chrome→菜单→更多工具→扩展程序，禁用所有扩展并逐个启用排查\n3. 重置Chrome：Chrome→设置→高级→重置设置→还原设置
企业微信无法登录，提示“网络连接正常但服务器未响应”，其他软件能上网,软件类,15,1. 检查防火墙设置：确保防火墙允许企业微信通过\n2. 检查端口设置：确保80、443、8080等端口未被阻塞\n3. 重新安装企业微信：卸载后删除安装目录残留文件，重新安装最新版本
AutoCAD 2023启动时卡在加载界面，任务管理器显示“未响应”,软件类,16,1. 以兼容模式运行：右键AutoCAD→属性→兼容性→勾选“以兼容模式运行这个程序”，选择Windows 10\n2. 关闭硬件加速：AutoCAD→选项→系统→性能→关闭硬件加速\n3. 更新显卡驱动：到显卡厂商官网下载最新驱动
Outlook接收的附件是.exe文件，双击提示“此文件类型被管理员阻止”,软件类,17,1. 修改文件扩展名：将.exe改为.txt或其他允许的扩展名\n2. 联系管理员：请求管理员在组策略中添加例外允许.exe文件\n3. 使用在线解压工具：通过网页版解压工具处理.exe文件
钉钉视频会议时麦克风没声音，检查设备管理器显示麦克风正常，权限已开启,软件类,18,1. 检查录音设备设置：打开系统声音设置→录音→选择麦克风→属性→级别，确保音量已调大\n2. 更新声卡驱动：通过设备管理器更新声卡驱动\n3. 检查应用权限：进入系统隐私设置→麦克风，确保钉钉已获得麦克风权限
